Sample,Period,Region,Site Name,Ti,Mn,Fe,Ni,Cu,Zn,Rb,Sr,Y,Zr,Nb,Ba,Pb,CaO,TiO2,MnO2
18,1,PL,JI-2,-0.128274374891464,-0.087463158571305,0.010147074514852,-0.624301219899198,-0.985266262803241,-0.784922307054907,-0.175517817096423,0.036536044416999,1.74119478534859,0.831497376841856,1.09103468439958,-0.386569599941908,0.034754676586127,-0.471936473927501,-0.430578832377202,-0.149298936347849
19,1,PL,JI-2,-0.620143887536248,-0.261072878431767,0.130001555298958,-0.392743999879628,0.133656984948416,-1.62387782841334,-0.176460632157482,-1.06982942654989,-0.481699863165969,-0.11761972268549,-0.946208904194636,-1.54211672375902,1.34584819629296,-1.34765140434052,-1.53768785311959,-0.281905097158372
20,1,PL,JI-2,0.198322421601434,-0.452776821251385,-0.703766914253291,-0.370680024744232,-0.774951598006493,-0.725560020200385,-0.33649256503873,0.501393076152959,-0.493072919756011,0.457039151270327,-1.08494692331375,-0.752148024082938,0.068030162459416,-1.3922899995584,-1.35534048499732,-0.533856802698366
21,1,PL,JI-2,0.010465561969479,0.46119647775019,-0.186043300752848,-0.597732834615054,-0.925458512024488,-1.2299960907995,-0.025558783090828,-0.137868984248898,0.68772699620744,0.835973660974688,-0.382044846569409,-0.886133982710844,-1.0207149444161,-1.07489046026423,-1.31626604897111,0.460689403380558
22,1,PL,JI-2,-0.498388886280773,-0.609187022681188,-1.17637585204502,-0.822113536770516,-0.660083942464192,-0.188592123061159,-1.37806587680451,-1.32911889777831,-1.52087448659261,-0.558137774803726,-1.4835744712053,-1.61638295265824,-0.939939308712589,-1.72181945755171,-1.47907619908029,0.036349688786883
23,1,PL,JI-2,-0.257226983784838,-0.446315637994497,-0.906557412659933,-0.323269199280284,-1.11360567475126,-1.13933994336732,-0.530645148149177,-0.011928383937954,1.15671189059277,1.93102786950105,0.055663833468371,-1.05727509269646,1.00511958862663,-0.854530270563187,-1.14694349285757,-0.441032490131
24,1,PL,JI-2,-1.10664531734097,-0.301766376615501,-0.589205288496075,-0.408623954302335,-1.08926930705162,-1.03207684710882,-0.680757921776955,-0.219630800921355,2.12618811991692,2.13565856692781,0.511796475803661,-0.096716538573594,1.1169627765238,-0.816118861349243,-1.04925740279207,-0.334947561482582
25,1,PL,JI-2,0.131616683773563,-0.9132957177787,0.742084959218604,-0.000707625069046,-0.993275856680818,0.440010545280377,-0.733223883148686,-1.18034807858747,-1.62584472511962,-0.713840246689994,-1.5678780562636,-1.66837998636147,1.3022174396045,-1.66116986405601,-1.27067920694055,-0.878632820805727
26,1,PL,JI-2,-1.20836087683055,-0.335566801386711,-0.9525331679284,-0.814555289232786,-0.194610349595746,0.326371566883208,-0.148396278598545,0.610971754070566,-0.288742126020048,0.255854328221378,-0.093402770575108,0.913319501340092,0.590195169329113,-0.484567750239413,-1.15996830486631,-0.308426329320477
27,1,PL,JI-2,-0.451253662378328,-0.434026622648484,0.378504366060133,0.388122220483104,-0.864076784604285,-0.375301676294083,-0.647931038375821,0.651470300052909,0.151733281913214,0.146703066679795,-0.81807862094378,-0.790963786564738,0.438309358604565,-1.054673929099,-0.945058906722194,-0.507335570536262
28,1,PL,JI-2,-1.23389878230113,0.273008569903133,-1.35201480830244,-0.818296240034289,-1.13177682930032,-1.33031985486986,-0.889700156901014,1.62397708363048,-0.405239111091022,0.030771728237426,-0.415822110781509,0.891966060104054,0.663146384480146,-0.334965419616685,-1.19253033488814,0.261780162164773
